temperature_K,zero_vibr_energy,log10_k_diss_level_0,log10_k_diss_level_1,log10_k_diss_level_2,log10_k_diss_level_3,log10_k_diss_level_4,log10_k_diss_level_5,log10_k_diss_level_6,log10_k_diss_level_7,log10_k_diss_level_8,log10_k_diss_level_9,log10_k_diss_level_10,log10_k_diss_level_11,log10_k_diss_level_12,log10_k_diss_level_13,log10_k_diss_level_14,log10_k_diss_level_15,log10_k_diss_level_16,log10_k_diss_level_17,log10_k_diss_level_18,log10_k_diss_level_19,log10_k_diss_level_20,log10_k_diss_level_21,log10_k_diss_level_22,log10_k_diss_level_23,log10_k_diss_level_24,log10_k_diss_level_25,log10_k_diss_level_26,log10_k_diss_level_27,log10_k_diss_level_28,log10_k_diss_level_29,log10_k_diss_level_30,log10_k_diss_level_31,log10_k_diss_level_32,log10_k_diss_level_33,log10_k_diss_level_34,log10_k_diss_level_35,log10_k_diss_level_36,log10_k_diss_level_37,log10_k_diss_level_38,log10_k_diss_level_39,log10_k_diss_level_40,log10_k_diss_level_41,log10_k_diss_level_42,log10_k_diss_level_43,log10_k_diss_level_44,log10_k_diss_level_45,log10_k_diss_level_46,reaction_N2N,reaction_N2N2,reaction_N2O,reaction_NON,reaction_NOO,reaction_O2O,reaction_O2O2
1000,0.0973380969084498,-35.525687571348826,-34.5059867538236,-33.5019854354649,-32.51368361627271,-31.541081296247032,-30.584178475387866,-29.6429751536952,-28.717471331169076,-27.807667007809496,-26.913562183616353,-26.035156858589755,-25.172451032729697,-24.32544470603613,-23.494137878509108,-22.678530550148576,-21.87862272095459,-21.09441439092703,-20.32590556006603,-19.573096228371565,-18.83598639584359,-18.114576062482158,-17.408865228287215,-16.718853893258768,-16.044542057396864,-15.3859297207015,-14.74301688317257,-14.115803544810241,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1050,0.0973380969084498,-34.26675079760286,-33.29393024645642,-32.336087417372575,-31.393222310351316,-30.465334925392654,-29.552425262496577,-28.654493321663082,-27.771539102892206,-26.90356260618395,-26.050563831538216,-25.2125427789551,-24.389499448434606,-23.581433839976683,-22.78834595358138,-22.010235789248647,-21.247103346978538,-20.49894862677094,-19.765771628625973,-19.04757235254362,-18.344350798523838,-17.65610696656668,-16.982840856672084,-16.324552468840068,-15.68124180307067,-15.052908859363889,-14.439553637719627,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1100,0.0973380969084498,-33.12128954204497,-32.191131324135554,-31.275293991250276,-30.37377754338913,-29.486581980552124,-28.613707302739247,-27.75515350995049,-26.910920602185897,-26.081008579445463,-25.265417441729095,-24.46414718903689,-23.677197821368846,-22.904569338724915,-22.146261741105146,-21.40227502850949,-20.672609200937995,-19.957264258390563,-19.2562402008673,-18.56953702836819,-17.8971547408932,-17.239093338442366,-16.59535282101565,-15.965933188613047,-15.350834441234603,-14.750056578880324,-14.163599601550104,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1150,0.0973380969084498,-32.074524704403785,-31.18335934697858,-30.305914533408664,-29.44219026369403,-28.59218653783468,-27.75590335583061,-26.93334071768181,-26.12449862338832,-25.329377072950138,-24.547976066367173,-23.780295603639516,-23.02633568476717,-22.286096309750082,-21.55957747858831,-20.846779191281794,-20.147701447830592,-19.4623442482346,-18.790707592493927,-18.132791480608557,-17.48859591257845,-16.85812088840365,-16.241366408084115,-15.638332471619846,-15.049019079010884,-14.47342623025723,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1200,0.0973380969084498,-31.114141238207907,-30.258756406078355,-29.4165412343318,-28.587495722968235,-27.771619871987664,-26.968913681390077,-26.179377151175476,-25.40301028134389,-24.63981307189532,-23.889785522829673,-23.152927634147048,-22.42923940584744,-21.7187208379308,-21.021371930397184,-20.33719268324653,-19.666183096478903,-19.008343170094196,-18.363672904092514,-17.732172298473845,-17.113841353238147,-16.508680068385466,-15.916688443915756,-15.337866479829023,-14.772214176125305,-14.219731532804603,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1250,0.0973380969084498,-30.229794958013585,-29.407362389779134,-28.597592142882085,-27.800484217322428,-27.016038613100175,-26.24425533021531,-25.485134368667833,-24.738675728457775,-24.004879409585136,-23.283745412049832,-22.575273735851955,-21.879464380991493,-21.19631734746841,-20.525832635282747,-19.868010244434462,-19.2228501749236,-18.590352426750066,-17.970516999913965,-17.363343894415276,-16.768833110253965,-16.186984647430076,-15.617798505943565,-15.061274685794434,-14.517413186982722,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1300,0.0973380969084498,-29.412733246557643,-28.620749736665196,-27.84095974887233,-27.073363283179035,-26.317960339585316,-25.57475091809117,-24.843735018696588,-24.124912641401608,-23.41828378620622,-22.723848453110357,-22.041606642114086,-21.371558353217413,-20.7137035864203,-20.068042341722787,-19.434574619124827,-18.813300418626472,-18.204219740227625,-17.607332583928386,-17.02263894972874,-16.450138837628653,-15.889832247628165,-15.341719179727233,-14.80579963392586,-14.282073610224085,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1350,0.0973380969084498,-28.655500114088223,-27.89173941979312,-27.139737723997797,-26.39949502670225,-25.671011327906484,-24.954286627610493,-24.24932092581427,-23.55611422251785,-22.874666517721224,-22.204977811424325,-21.547048103627226,-20.900877394329925,-20.266465683532385,-19.64381297123465,-19.03291925743667,-18.433784542138497,-17.846408825340035,-17.270792107041384,-16.706934387242534,-16.154835665943438,-15.614495943144147,-15.085915218844615,-14.569093493044846,-14.064030765744876,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1400,0.0973380969084498,-27.95170450813672,-27.214177840633653,-26.488006267784574,-25.77318978958948,-25.069728406048377,-24.377622117161252,-23.696870922928102,-23.027474823348964,-22.369433818423833,-21.72274790815263,-21.08741709253544,-20.46344137157225,-19.850820745263036,-19.24955521360783,-18.659644776606587,-18.081089434259358,-17.513889186566054,-16.958044033526765,-16.41355397514148,-15.880419011410163,-15.358639142332857,-14.848214367909517,-14.349144688140148,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1450,0.0973380969084498,-27.295836596045525,-26.582759920014976,-25.88066190212474,-25.18954254237481,-24.50940184076519,-23.840239797295872,-23.18205641196685,-22.534851684778165,-21.898625615729802,-21.273378204821697,-20.65910945205392,-20.05581935742647,-19.46350792093931,-18.88217514259248,-18.311821022385942,-17.752445560319735,-17.204048756393778,-16.666630610608156,-16.14019112296286,-15.624730293457855,-15.120248122093178,-14.626744608868792,-14.144219753784702,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1500,0.0973380969084498,-26.683120818794972,-25.992887598929997,-25.313281335201307,-24.644302027608894,-23.985949676152764,-23.33822428083291,-22.70112584164933,-22.07465435860205,-21.45880983169107,-20.853592260916322,-20.259001646277873,-19.675037987775724,-19.10170128540984,-18.53899153918026,-17.98690874908694,-17.445452915129927,-16.914624037309135,-16.394422115624653,-15.884847150076467,-15.385899140664545,-14.897578087388927,-14.419883990249573,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1550,0.0973380969084498,-26.10939740701682,-25.440555747495324,-24.78201169575811,-24.13376525180518,-23.495816415636533,-22.868165187252167,-22.25081156665207,-21.643755553836282,-21.046997148804792,-20.460536351557536,-19.884373162094583,-19.318507580415933,-18.762939606521545,-18.217669240411468,-17.682696482085653,-17.15802133154414,-16.64364378878686,-16.13956385381389,-15.645781526625216,-15.16229680722081,-14.689109695600706,-14.22622019176487,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1600,0.0973380969084498,-25.571026128602067,-24.922259482021914,-24.2834813646772,-23.65469177656792,-23.035890717694077,-22.42707818805566,-21.828254187652675,-21.239418716485137,-20.660571774553055,-20.09171336185636,-19.532843478395115,-18.983962124169327,-18.445069299178954,-17.91616500342404,-17.39724923690454,-16.888321999620498,-16.389383291571836,-15.900433112758634,-15.42147146318088,-14.952498342838547,-14.493513751731667,-14.044517689860207,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1650,0.0973380969084498,-25.064807548696685,-24.434918345653404,-23.81472703129298,-23.204233605615407,-22.60343806862069,-22.01234042030882,-21.4309406606798,-20.85923878973365,-20.297234807470367,-19.74492871388989,-19.20232050899229,-18.66941019277756,-18.146197765245667,-17.632683226396644,-17.12886657623046,-16.63474781474715,-16.150326941946645,-15.675603957829013,-15.21057886239425,-14.755251655642327,-14.309622337573275,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
1700,0.0973380969084498,-24.587918193991772,-23.975813878045322,-23.373133631426725,-22.779877454135974,-22.196045346173072,-21.621637307538016,-21.0566533382308,-20.501093438251445,-19.954957607599958,-19.41824584627627,-18.890958154280455,-18.373094531612498,-17.86465497827238,-17.365639494260122,-16.876048079575703,-16.395880734219148,-15.925137458190392,-15.463818251489506,-15.011923114116485,-14.569452046071294,-14.136405047353971,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,False,False,False,False,False,True,False
